1480,UNIVERSITARIO INCOMPLETO,SI,INTRODUCCION A JAVA,21630
1488,UNIVERSITARIO INCOMPLETO,SI,INTRODUCCION A JAVA,21630
1492,UNIVERSITARIO INCOMPLETO,SI,INTRODUCCION A JAVA,21630
1494,SECUNDARIO COMPLETO,SI,INTRODUCCION A JAVA,21630
1496,UNIVERSITARIO INCOMPLETO,SI,INTRODUCCION A JAVA,21630
1499,UNIVERSITARIO INCOMPLETO,SI,INTRODUCCION A JAVA,21630
1504,UNIVERSITARIO INCOMPLETO,NO,INTRODUCCION A JAVA,21630
1512,SECUNDARIO COMPLETO,NO,INTRODUCCION A JAVA,21630
1520,UNIVERSITARIO INCOMPLETO,NO,INTRODUCCION A JAVA,21630
1529,UNIVERSITARIO INCOMPLETO,NO,INTRODUCCION A JAVA,21630
1534,UNIVERSITARIO INCOMPLETO,NO,INTRODUCCION A JAVA,21630
1544,TERCIARIO INCOMPLETO,NO,INTRODUCCION A JAVA,21630
1550,SECUNDARIO COMPLETO,SI,INTRODUCCION A JAVA,21630
1554,SECUNDARIO COMPLETO,NO,INTRODUCCION A JAVA,21630
1556,SECUNDARIO COMPLETO,NO,INTRODUCCION A JAVA,21630
1562,SECUNDARIO COMPLETO,NO,INTRODUCCION A JAVA,21630
1566,UNIVERSITARIO INCOMPLETO,NO,INTRODUCCION A JAVA,21630
1568,SECUNDARIO COMPLETO,NO,INTRODUCCION A JAVA,21630
1577,SECUNDARIO COMPLETO,SI,INTRODUCCION A JAVA,21630
1578,SECUNDARIO COMPLETO,NO,INTRODUCCION A JAVA,21630
1586,SECUNDARIO COMPLETO,NO,INTRODUCCION A JAVA,21630
1606,SECUNDARIO COMPLETO,NO,INTRODUCCION A JAVA,21630
1607,SECUNDARIO COMPLETO,SI,INTRODUCCION A JAVA,21630
1614,UNIVERSITARIO INCOMPLETO,SI,INTRODUCCION A JAVA,21630
1623,Otro,NO,INTRODUCCION A JAVA,21630
575,UNIVERSITARIO COMPLETO,NO,INTRODUCCION A JAVA,21631
576,UNIVERSITARIO INCOMPLETO,NO,INTRODUCCION A JAVA,21631
577,UNIVERSITARIO INCOMPLETO,SI,INTRODUCCION A JAVA,21631
578,SECUNDARIO COMPLETO,SI,INTRODUCCION A JAVA,21631
579,SECUNDARIO COMPLETO,SI,INTRODUCCION A JAVA,21631
580,SECUNDARIO COMPLETO,SI,INTRODUCCION A JAVA,21631
581,SECUNDARIO COMPLETO,SI,INTRODUCCION A JAVA,21631
582,UNIVERSITARIO INCOMPLETO,NO,INTRODUCCION A JAVA,21631
583,TERCIARIO COMPLETO,SI,INTRODUCCION A JAVA,21631
584,TERCIARIO INCOMPLETO,NO,INTRODUCCION A JAVA,21631
